Ref,Val,Package,PosX,PosY,Rot,Side
"C1","10u","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",100.300000,-83.800000,-90.000000,top
"C2","10u","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",89.100000,-108.800000,-90.000000,top
"D2","D","D_1206_3216Metric",107.900000,-123.000000,-90.000000,top
"D3","D","D_1206_3216Metric",105.200000,-130.900000,-90.000000,top
"D4","D","D_1206_3216Metric",77.900000,-127.700000,90.000000,top
"D5","D","D_1206_3216Metric",77.900000,-134.400000,-90.000000,top
"J1","Conn_01x16_Socket","PinHeader_1x16_P2.54mm_Vertical",78.520577,-49.602958,0.000000,top
"J2","Conn_01x16_Socket","PinHeader_1x16_P2.54mm_Vertical",103.939978,-49.602958,0.000000,top
"J3","Conn_01x02","PinHeader_1x02_P2.54mm_Vertical",110.200000,-98.200000,180.000000,top
"J4","Conn_01x02","PinHeader_1x02_P2.54mm_Vertical",73.400000,-130.425000,0.000000,top
"J5","Conn_01x02","PinHeader_1x02_P2.54mm_Vertical",73.000000,-100.025000,0.000000,top
"J6","Conn_01x02","PinHeader_1x02_P2.54mm_Vertical",110.200000,-106.560000,0.000000,top
"J9","Conn_01x03","PinHeader_1x03_P2.54mm_Vertical",73.100000,-115.200000,180.000000,top
"J10","Conn_01x16","PinHeader_1x16_P2.54mm_Vertical",110.300000,-49.600000,0.000000,top
"J11","Conn_01x16","PinHeader_1x16_P2.54mm_Vertical",72.380880,-49.598597,0.000000,top
"JP1","Jumper_2_Bridged","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",100.251979,-102.995350,90.000000,top
"JP2","Jumper_2_Bridged","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",105.800000,-94.300000,180.000000,top
"JP3","Jumper_2_Bridged","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",105.800000,-98.900000,180.000000,top
"JP4","Jumper_2_Bridged","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",78.700000,-100.100000,0.000000,top
"JP5","Jumper_2_Bridged","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",78.700000,-103.100000,180.000000,top
"JP6","Jumper_2_Bridged","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",75.000000,-94.900000,-90.000000,top
"JP7","Jumper_2_Bridged","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",103.351979,-103.895350,180.000000,top
"JP8","Jumper_2_Bridged","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",105.800000,-96.600000,0.000000,top
"JP9","Jumper_2_Bridged","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",87.000000,-69.400000,180.000000,top
"JP10","Jumper_2_Bridged","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",83.000000,-62.300000,180.000000,top
"JP11","Jumper_2_Bridged","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",82.900000,-64.800000,180.000000,top
"L2","5.6mH","L_Radial_D7.8mm_P5.00mm_Fastron_07HCP",102.300000,-121.600000,180.000000,top
"L3","5.6mH","L_Radial_D7.8mm_P5.00mm_Fastron_07HCP",91.700000,-121.600000,180.000000,top
"Q1","NPN","SOT-23",90.400000,-130.200000,180.000000,top
"Q2","PMOS","SOT-23",103.400000,-108.200000,0.000000,top
"R1","20k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",89.000000,-102.200000,-90.000000,top
"R2","1.6k","R_2512_6332Metric",99.900000,-132.400000,-90.000000,top
"R3","1k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",84.400000,-104.000000,-90.000000,top
"R4","5","R_2512_6332Metric",93.900000,-110.200000,-90.000000,top
"R5","5","R_2512_6332Metric",83.300000,-135.900000,-90.000000,top
"R6","10k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",84.200000,-96.600000,90.000000,top
"U2","LMV321IDCKR","DCK5",85.441400,-100.250001,0.000000,top
